Roll_num	Quiz#1		Quiz#2		Ass#1		Ass#1
4159-14L	5		3		3		-
4222-14L	5		3		-		-
4241-14L	4		3		5		-
4290-14L	3		3		-		-
4401-14L	0		3		-		-
5867-14L	2		3		5		-
5868-14L	5		3		5		-
4014-15L	3		3		-		-
4019-15L	1		3		0		-
4023-15L	3		3		5		-
4028-15L	5		3		3		-
4048-15L	5		3		2		-
4050-15L	5		3		4		-
4068-15L	5		3		1		-
4083-15L	5		3		-		-
4084-15L	5		3		0		-
4091-15L	5		3		5		-
4102-15L	5		3		-		-
4137-15L	5		3		0		-
6708-21L	2		3		0		-
6652-22L	0		0		0		0
6705-22L	0		0		0		0
6848-22L	5		3		-		-
6789-22L	3		3		-		-
6543-22L	4		5		-		-
6661-22L	0		0		20		0
