Roll_num   Crs   Contact  Age    Name
4159-14L    3    111111   22     TahirAli
4222-14L    3    222222   22     Muhammad Ali
4241-14L    3    333333   22     Waleed Amjad
4290-14L    3    444444   22     Burhan Tahir
4401-14L    3    555555   22     Hassan Sohail
5867-14L    3    666666   22     Saad Ali
5868-14L    3    777777   22     Nisar Haider
4014-15L    3    888888   21     Neeha Batool
4019-15L    3    999999   21     Abubakar Javed
4023-15L    3    010101   21     Saad Sultan
4028-15L    3    020202   21     Hassaan Elahi
4048-15L    3    030303   21     Kamal Subhani
4050-15L    3    040404   21     Saad Ahmed
4068-15L    3    050505   21     Usman Usman
4083-15L    3    060606   21     Zaid Tariq
4084-15L    3    070707   21     Abdullah Siddiqui
4091-15L    3    080808   21     Saifullah
4102-15L    3    090909   21     Hashir Baig
4137-15L    3    101010   21     Usama Jawad
6708-21L    3    345678   20     Aiman 
6652-22L    2    159753   19     Fatima Javaid
6705-22L    3    656565   21     Nimra Hanif
6848-22L    1    159789   19     Ruban Ahmed
6789-22L    3    159753   19     Abul Diyan
6543-22L    2    122112   20     Shah G
6661-22L    2    151595   20     Wahab
